code,hood
1,Ahuntsic - Cartierville
2,Villeray-Saint-Michel-Parc-Extension
3,Rosemont - La Petite-Patrie
4,Mercier-Hochelaga-Maisonneuve
5,Le Plateau-Mont-Royal
6,Ville-Marie
7,Cote-des-Neiges–Notre-Dame-de-Grace
8,Le Sud-Ouest
9,Riviere-des-Prairies-Pointe-aux-Trembles
10,Anjou
12,Saint-Leonard
13,LaSalle
16,Verdun
25,Pierrefonds-Roxboro
27,Saint-Laurent
33,Montreal-Est
