CMANAME,mean,stdDev
Calgary,5.98087401106195,5.403250708201287
Halifax,6.079442779267925,5.059242593206771
Montreal,7.573397060245058,7.543048697154629
Ottawa,5.311597274689781,5.031355820897422
Toronto,7.313376726407919,9.2638953807959
Vancouver,7.6344758700175515,9.017274448840038
Winnipeg,4.274509315130853,4.349285476722718
