"","type",".metric",".estimator",".estimate"
"1","test","rmse","standard",3.62036625040039
"2","train","rmse","standard",2.65636495302207
"3","test","rsq","standard",0.210952167727318
"4","train","rsq","standard",0.531395424441416
"5","test","mae","standard",2.90858238843775
"6","train","mae","standard",2.08217663234773
