"","type",".metric",".estimator",".estimate"
"1","test","rmse","standard",0.00694965489453704
"2","train","rmse","standard",0.00500675253195876
"3","test","rsq","standard",0.67665406166474
"4","train","rsq","standard",0.852832894702143
"5","test","mae","standard",0.00517976660884174
"6","train","mae","standard",0.00366212032336103
